asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter
487,2017-10-12 19:25:38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False
487,2017-10-12 19:25:46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,8.0,nan,False,False
487,2017-10-12 19:26:15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,29.000000000000004,nan,False,False
